Evidence_ID,Paper_ID,Authors,Year,Title,Journal_or_Conference,DOI,Process,Workpiece_Material,Tool_or_Reamer,Process_Factor,Factor_Value_or_Range,Experimental_Context,Measured_Outcome,Source_Supported_Finding,Evidence_Type,Evidence_Directness,Primary_RC_Mapping,Secondary_RC_Mapping,Suggested_CA,CA_Source_Type,Supporting_Passage_or_Summary,Source_Page_or_Section_if_available,Critical_Limitation,Retrieval_Text,Source_URL,Verification_Status
E011,P011,"Leveille, T. et al.",2022,Influence of the reaming process on hole’s surface integrity and geometry in a martensitic stainless steel 15-5PH,Procedia CIRP,10.1016/j.procir.2022.03.062,Reaming,15-5PH martensitic stainless steel,Not extracted from accessible source,Tool-holder flexibility; back taper; cutting forces; hole geometry; residual stress,Context-specific; no universal threshold encoded,"Supports tool-system flexibility/rigidity, not specifically a universal '60 mm overhang' threshold. Consider broadening A8 wording in the new literature-grounded taxonomy.",See source-supported finding / original paper,The study shows sensitivity of residual-stress profiles and hole geometry to tool-holder flexibility and back taper.,Experimental,Direct reaming evidence,A8-contextual,,C7-contextual,Engineering Inference,The study shows sensitivity of residual-stress profiles and hole geometry to tool-holder flexibility and back taper.,Not extracted in seed corpus,"Supports tool-system flexibility/rigidity, not specifically a universal '60 mm overhang' threshold. Consider broadening A8 wording in the new literature-grounded taxonomy.","Reaming | Tool-holder flexibility; back taper; cutting forces; hole geometry; residual stress | The study shows sensitivity of residual-stress profiles and hole geometry to tool-holder flexibility and back taper. | Supports tool-system flexibility/rigidity, not specifically a universal '60 mm overhang' threshold. Consider broadening A8 wording in the new literature-grounded taxonomy. | A8-contextual |",https://www.sciencedirect.com/science/article/pii/S2212827122005595,Web-verified bibliographic identity/DOI on 2026-08-31
E012,P012,"Bayly, P.V.; Young, K.A.; Calvert, S.G.; Halley, J.E.",2001,Analysis of tool oscillation and hole roundness error in a quasi-static model of reaming,Journal of Manufacturing Science and Engineering,10.1115/1.1383551,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Tool oscillation; regenerative effects; roundness/lobing,Context-specific; no universal threshold encoded,Important finding: chatter/oscillation is a real reaming-quality mechanism but does not fit cleanly into current A1-A8 unless A8 is broadened.,See source-supported finding / original paper,A quasi-static model explains tool oscillation during reaming and resulting roundness errors/lobed holes.,Quasi-static analytical/model study,Direct reaming evidence,Taxonomy gap: chatter/vibration,,,Not Available,A quasi-static model explains tool oscillation during reaming and resulting roundness errors/lobed holes.,Not extracted in seed corpus,Important finding: chatter/oscillation is a real reaming-quality mechanism but does not fit cleanly into current A1-A8 unless A8 is broadened.,Reaming | Tool oscillation; regenerative effects; roundness/lobing | A quasi-static model explains tool oscillation during reaming and resulting roundness errors/lobed holes. | Important finding: chatter/oscillation is a real reaming-quality mechanism but does not fit cleanly into current A1-A8 unless A8 is broadened. | Taxonomy gap: chatter/vibration |,https://profiles.wustl.edu/en/publications/analysis-of-tool-oscillation-and-hole-roundness-error-in-a-quasi-/,Web-verified bibliographic identity/DOI on 2026-08-31
E013,P013,"Towfighian, S.; Behdinan, K.; Papini, M.; Saghir, Z.",2007,Finite element modeling of low speed reaming vibrations with reamer geometry modifications,Journal of Intelligent Manufacturing,10.1007/s10845-007-0038-4,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Low-speed vibration; lobed holes; tool geometry; bending stiffness,Context-specific; no universal threshold encoded,Supports a separate vibration/stability factor rather than forcing all dynamic problems into 'overhang too long'.,See source-supported finding / original paper,The study models low-speed reaming vibration and lobed/multi-cornered hole formation while considering reamer bending behaviour and geometry.,Finite-element vibration model,Direct reaming evidence,Taxonomy gap: chatter/vibration,,,Not Available,The study models low-speed reaming vibration and lobed/multi-cornered hole formation while considering reamer bending behaviour and geometry.,Not extracted in seed corpus,Supports a separate vibration/stability factor rather than forcing all dynamic problems into 'overhang too long'.,Reaming | Low-speed vibration; lobed holes; tool geometry; bending stiffness | The study models low-speed reaming vibration and lobed/multi-cornered hole formation while considering reamer bending behaviour and geometry. | Supports a separate vibration/stability factor rather than forcing all dynamic problems into 'overhang too long'. | Taxonomy gap: chatter/vibration | ,https://experts.mcmaster.ca/scholarly-works/766812,Web-verified bibliographic identity/DOI on 2026-08-31
E014,P014,"Epureanu, B.I.",2003,An investigation of stability and pattern formation in reaming,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",10.1243/095440503321148894,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Chatter; stability; pattern formation; surface waviness,Context-specific; no universal threshold encoded,Reinforces the need either to add a chatter/vibration RC or broaden A8 to tool-system instability.,See source-supported finding / original paper,Chatter is identified as an important factor affecting reamed-surface quality; unstable patterns lead to a wavy workpiece profile.,Stability analysis/model,Direct reaming evidence,Taxonomy gap: chatter/vibration,,,Not Available,Chatter is identified as an important factor affecting reamed-surface quality; unstable patterns lead to a wavy workpiece profile.,Not extracted in seed corpus,Reinforces the need either to add a chatter/vibration RC or broaden A8 to tool-system instability.,Reaming | Chatter; stability; pattern formation; surface waviness | Chatter is identified as an important factor affecting reamed-surface quality; unstable patterns lead to a wavy workpiece profile. | Reinforces the need either to add a chatter/vibration RC or broaden A8 to tool-system instability. | Taxonomy gap: chatter/vibration |,https://journals.sagepub.com/doi/10.1243/095440503321148894,Web-verified bibliographic identity/DOI on 2026-08-31
E015,P015,"Pilný, L.; Müller, P.; De Chiffre, L.",2014,Reproducibility of a reaming test,International Journal of Manufacturing Research,10.1504/IJMR.2014.062441,Reaming,Austenitic stainless steel,HSS reamer,Cutting-fluid type/concentration; surface finish; hole diameter; roundness,Context-specific; no universal threshold encoded,Useful supporting evidence for lubrication as an engineering variable.,See source-supported finding / original paper,"Different lubricants were compared using reamed-hole surface finish, diameter and roundness, demonstrating a reproducible reaming test for cutting-fluid performance.",Experimental reproducibility study,Direct reaming evidence,A5,,C4,Engineering Inference,"Different lubricants were compared using reamed-hole surface finish, diameter and roundness, demonstrating a reproducible reaming test for cutting-fluid performance.",Not extracted in seed corpus,Useful supporting evidence for lubrication as an engineering variable.,"Reaming | Cutting-fluid type/concentration; surface finish; hole diameter; roundness | Different lubricants were compared using reamed-hole surface finish, diameter and roundness, demonstrating a reproducible reaming test for cutting-fluid performance. | Useful supporting evidence for lubrication as an engineering variable. | A5 |",https://orbit.dtu.dk/en/publications/reproducibility-of-a-reaming-test-2/,Web-verified bibliographic identity/DOI on 2026-08-31
E016,P016,"Wang, Y.; Cui, X.; Xu, H.; Jiang, K.",2013,Cutting force analysis in reaming of ZL102 aluminium cast alloys by PCD reamer,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-012-4585-2,Reaming,ZL102 aluminium cast alloy,Four-flute PCD reamer,Cutting speed; feed; cutting force; cylindricity,Context-specific; no universal threshold encoded,"Direct evidence that speed/feed affect process response; again, optimum values are system-specific.",See source-supported finding / original paper,High feed combined with low cutting speed produced higher thrust; machining parameters were optimised relative to forces and cylindricity.,Experimental cutting-force study,Direct reaming evidence,A3,A4,C2; C3,Engineering Inference,High feed combined with low cutting speed produced higher thrust; machining parameters were optimised relative to forces and cylindricity.,Not extracted in seed corpus,"Direct evidence that speed/feed affect process response; again, optimum values are system-specific.","Reaming | Cutting speed; feed; cutting force; cylindricity | High feed combined with low cutting speed produced higher thrust; machining parameters were optimised relative to forces and cylindricity. | Direct evidence that speed/feed affect process response; again, optimum values are system-specific. | A3 | A4",https://www.researchgate.net/publication/257337218_Cutting_force_analysis_in_reaming_of_ZL102_aluminium_cast_alloys_by_PCD_reamer,Web-verified bibliographic identity/DOI on 2026-08-31
E017,P017,"Rodrigues, M.A.; Moreira, L.T.S.",2009,Tool wear and surface roughness evaluation of the reaming process for the 15-5 precipitation hardening stainless steel,20th International Congress of Mechanical Engineering (COBEM 2009),,Reaming,15-5PH stainless steel,Not extracted from accessible source,Tool wear; chip formation; chip extraction; feed; surface roughness,Context-specific; no universal threshold encoded,Useful direct conference evidence for tool wear and chip extraction. Retain as secondary corpus if journal-only filtering is preferred.,See source-supported finding / original paper,"Feed was important for reasonable chip formation; tool wear was related to roughness, and failure was associated with chips not being correctly extracted from the hole.",Conference experimental study,Direct reaming evidence,A1,A2; A4,C1; C8; C3,Engineering Inference,"Feed was important for reasonable chip formation; tool wear was related to roughness, and failure was associated with chips not being correctly extracted from the hole.",Not extracted in seed corpus,Useful direct conference evidence for tool wear and chip extraction. Retain as secondary corpus if journal-only filtering is preferred.,"Reaming | Tool wear; chip formation; chip extraction; feed; surface roughness | Feed was important for reasonable chip formation; tool wear was related to roughness, and failure was associated with chips not being correctly extracted from the hole. | Useful direct conference evidence for tool wear and chip extraction. Retain as secondary corpus if journal-only filtering is preferred. | A1 | A2; A4",https://www.abcm.org.br/anais/cobem/2009/pdf/COB09-1753.pdf,Publisher-hosted COBEM 2009 paper located/verified 2026-08-31; no DOI identified
E018,P018,"Matsuzaki, K.; Ryu, T.; Sueoka, A.; Tsukamoto, K.; Magatayama, K.",2017,Study for polygonal deformation phenomenon of borehole in reaming process,Transactions of the JSME,10.1299/transjsme.17-00155,Reaming,Not extracted from accessible abstract,Not extracted from accessible source,Chatter vibration; polygonal deformation; irregular tooth spacing,Context-specific; no universal threshold encoded,Another reason to avoid equating every stability problem with tool overhang.,See source-supported finding / original paper,Chatter during reaming can produce polygonal bore deformation; irregular tooth spacing is investigated as a countermeasure.,Analytical/numerical stability study,Direct reaming evidence,Taxonomy gap: chatter/vibration,,,Directly Reported,Chatter during reaming can produce polygonal bore deformation; irregular tooth spacing is investigated as a countermeasure.,Not extracted in seed corpus,Another reason to avoid equating every stability problem with tool overhang.,Reaming | Chatter vibration; polygonal deformation; irregular tooth spacing | Chatter during reaming can produce polygonal bore deformation; irregular tooth spacing is investigated as a countermeasure. | Another reason to avoid equating every stability problem with tool overhang. | Taxonomy gap: chatter/vibration | ,https://www.jstage.jst.go.jp/article/transjsme/83/852/83_17-00155/_article/-char/en,Web-verified bibliographic identity/DOI on 2026-08-31
E019,P019,"Lanc, K.; Fiala, Z.",2024,Chatter mitigation in reaming: exploring effective tool holder design,MM Science Journal,10.17973/MMSJ.2024_06_2024017,Reaming,Not extracted from accessible abstract,Exchangeable reaming head / holder designs,Clamping/tool-holder design; dynamic properties; chatter; process stability,Context-specific; no universal threshold encoded,"Direct recent support for tool-system rigidity/stability, but not for a fixed overhang threshold.",See source-supported finding / original paper,Tool-holder/clamping construction influences dynamic properties and machining stability in reaming; the study evaluates holder designs for chatter mitigation.,Experimental dynamic/tool-holder study,Direct reaming evidence,A8-contextual,Taxonomy gap: chatter/vibration,C7-contextual,Engineering Inference,Tool-holder/clamping construction influences dynamic properties and machining stability in reaming; the study evaluates holder designs for chatter mitigation.,Not extracted in seed corpus,"Direct recent support for tool-system rigidity/stability, but not for a fixed overhang threshold.","Reaming | Clamping/tool-holder design; dynamic properties; chatter; process stability | Tool-holder/clamping construction influences dynamic properties and machining stability in reaming; the study evaluates holder designs for chatter mitigation. | Direct recent support for tool-system rigidity/stability, but not for a fixed overhang threshold. | A8-contextual | Taxonomy gap: chatter/vibration",https://www.mmscience.eu/journal/issues/june-2024/articles/chatter-mitigation-in-reaming-exploring-effective-tool-holder-design,Web-verified bibliographic identity/DOI on 2026-08-31
E020,P020,P.G. Mathews; M.S. Shunmugam,1999,Neural-network approach for predicting hole quality in reaming,"International Journal of Machine Tools and Manufacture 39(5), 723–730",10.1016/S0890-6955(98)00061-3,Reaming,EN4 steel,20 mm HSS reamer,Feed; cutting speed; force/vibration/acoustic-emission signals,Study-specific; no universal threshold encoded,Condition-monitoring experiment with ANN sensor fusion.,Roughness; roundness error; residual stress,"Direct reaming work demonstrates that process/sensor inputs contain information relevant to roughness, roundness and residual-stress outcomes; cutting-condition effects must remain context-specific.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A4,A3; A2,C3,Engineering Inference,"Direct reaming work demonstrates that process/sensor inputs contain information relevant to roughness, roundness and residual-stress outcomes; cutting-condition effects must remain context-specific.",Publisher abstract/full text where available,Does not establish a universal feed/speed limit.,reaming EN4 steel feed cutting speed acoustic emission force vibration roughness roundness residual stress hole quality,https://doi.org/10.1016/S0890-6955(98)00061-3,Bibliographic identity/DOI/source verified 2026-08-31
E021,P021,Thomas Hauer; Michael Haydn; Eberhard Abele,2012,Influence of a diagonal pre-drilled hole on hole quality during the reaming process using multiblade tools,"Journal of the Brazilian Society of Mechanical Sciences and Engineering 34(spe2), 569–573",10.1590/S1678-58782012000600005,Reaming,42CrMo4V heat-treated steel,Multi-blade reamer,Pre-drilled-hole radial deviation; process-chain error; stiffness,Study-specific; no universal threshold encoded,Pre-holes with different radial deviations were produced then reamed.,Radial deviation; roundness; final hole quality,"Radial deviation of the pre-drilled hole is an important input to the subsequent reaming process, demonstrating drilling–reaming process-chain coupling.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A6,A7,C5,Engineering Inference,"Radial deviation of the pre-drilled hole is an important input to the subsequent reaming process, demonstrating drilling–reaming process-chain coupling.",Publisher abstract/full text where available,"Supports inherited pre-hole geometry effects, not a universal pilot-hole-diameter threshold.",reaming predrilled hole radial deviation pilot starting hole process chain drilling reaming geometry roundness stiffness,https://doi.org/10.1590/S1678-58782012000600005,Bibliographic identity/DOI/source verified 2026-08-31
